name,untargeted?,zhel,Tmax(MJD),e(Tmax),sBV,e(sBV),EBV_MW,spec_counts,filename,Date,MJD,epoch,EXPTOT,SNRY,SNRJ,SNRH,SNRH,SNRK,host_contamination
CSS121114:090202+101800,untargeted,0.037,56244.99,0.68,1.158,0.049,0.028,1,CSP12G_20121203_fire,2012-12-03,56264.32,18.63899664,951,15.3,6.4,7.7,7.7,5.8,No
LSQ11bk,untargeted,0.0403,55912.3,0.2,1.071,0.043,0.094,2,LSQ11bk_20111218_fire,2011-12-18,55913.13,0.79476926,3170,16,13.2,6.8,6.8,6.4,No
LSQ11bk,untargeted,0.0403,55912.3,0.2,1.071,0.043,0.094,2,LSQ11bk_20111221_fire,2011-12-21,55916.2,3.752933764,1806.9,14.3,10,5.8,5.8,5.8,No
LSQ11ot,untargeted,0.0273,55927.65,0.05,0.982,0.04,0.158,2,LSQ11ot_20120115_fire,2012-01-15,55941.17,13.15674979,2916.401,12,11.1,11.2,11.2,11.1,No
LSQ11ot,untargeted,0.0273,55927.65,0.05,0.982,0.04,0.158,2,LSQ11ot_20120203_fire,2012-02-03,55960.18,31.6694478,1200,11.1,8.6,10.1,10.1,6,No
LSQ11pn,untargeted,0.0327,55929.28,0.06,0.507,0.041,0.146,1,LSQ11pn_20120116_fire,2012-01-16,55942.06,12.37989472,760.8,19.5,12.8,9.9,9.9,4.9,No
LSQ12btn,untargeted,0.0542,56032.08,0.19,0.832,0.041,0.033,2,LSQ12btn_20120419_fire,2012-04-19,56036.09,3.802385753,1200,12.4,9,5.9,5.9,4.7,No
LSQ12btn,untargeted,0.0542,56032.08,0.19,0.832,0.041,0.033,2,LSQ12btn_20120430_fire,2012-04-30,56047.01,14.1667446,3170,11.8,4.8,3.5,3.5,3,No
LSQ12fuk,untargeted,0.0206,56233.53,0.56,1.003,0.04,0.071,2,LSQ12fuk_20121105_fire,2012-11-05,56236.31,2.725975091,1268,74.3,79.6,47.6,47.6,39.7,No
LSQ12fuk,untargeted,0.0206,56233.53,0.56,1.003,0.04,0.071,2,LSQ12fuk_20121203_fire,2012-12-03,56264.23,30.0817881,1268,65.5,45.6,54,54,30.8,No
LSQ12fxd,untargeted,0.0312,56246.4,0.04,1.161,0.04,0.022,7,LSQ12fxd_20121105_fire,2012-11-05,56236.34,-9.751519184,1902,51.2,58,31.7,31.7,17.8,No
LSQ12fxd,untargeted,0.0312,56246.4,0.04,1.161,0.04,0.022,7,LSQ12fxd_20121109_fire,2012-11-09,56240.36,-5.857539462,951,24.9,28.4,13.6,13.6,9.7,No
LSQ12fxd,untargeted,0.0312,56246.4,0.04,1.161,0.04,0.022,7,LSQ12fxd_20121111_fire,2012-11-11,56242.38,-3.895212454,540,20.8,30.7,25.9,25.9,15,No
LSQ12fxd,untargeted,0.0312,56246.4,0.04,1.161,0.04,0.022,7,LSQ12fxd_20121119_fire,2012-11-19,56250.29,3.768147138,1050,45.2,43,27.1,27.1,19.7,No
LSQ12fxd,untargeted,0.0312,56246.4,0.04,1.161,0.04,0.022,7,LSQ12fxd_20121125_fire,2012-11-25,56256.25,9.555793326,1902,39.6,28.4,21.5,21.5,18.6,No
LSQ12fxd,untargeted,0.0312,56246.4,0.04,1.161,0.04,0.022,7,LSQ12fxd_20121203_fire,2012-12-03,56264.28,17.33468147,2536,52.2,27.3,31.4,31.4,20.6,No
LSQ12fxd,untargeted,0.0312,56246.4,0.04,1.161,0.04,0.022,7,LSQ12fxd_20130103_fire,2013-01-03,56295.29,47.40569165,2377.5,24.5,11.9,10.1,10.1,4.5,No
LSQ12gdj,untargeted,0.0303,56253.62,0.07,1.167,0.041,0.02,5,LSQ12gdj_20121119_fire,2012-11-19,56250.14,-3.375375149,1200,67,68.5,36.4,36.4,28.6,No
LSQ12gdj,untargeted,0.0303,56253.62,0.07,1.167,0.041,0.02,5,LSQ12gdj_20121125_fire,2012-11-25,56256.17,2.471271141,1902,34.3,31.4,15.9,15.9,15,No
LSQ12gdj,untargeted,0.0303,56253.62,0.07,1.167,0.041,0.02,5,LSQ12gdj_20121203_fire,2012-12-03,56264.1,10.17276032,2219,30.5,16.2,15.2,15.2,16.9,No
LSQ12gdj,untargeted,0.0303,56253.62,0.07,1.167,0.041,0.02,5,LSQ12gdj_20121227_fire,2012-12-27,56288.06,33.42361473,2694.5,51.9,25.5,24.3,24.3,13.1,No
LSQ12gdj,untargeted,0.0303,56253.62,0.07,1.167,0.041,0.02,5,LSQ12gdj_20130103_fire,2013-01-03,56295.06,40.22184054,2853,36,17.6,15.1,15.1,8.5,No
LSQ12hzj,untargeted,0.0334,56301.51,0.08,0.97,0.04,0.057,1,LSQ12hzj_20130106_fire,2013-01-06,56298.24,-3.165733819,1585,21.8,22.9,8.5,8.5,5.8,No
LSQ13aiz,untargeted,0.0092,56436.83,0.05,0.964,0.04,0.079,2,LSQ13aiz_20130519_fire,2013-05-19,56431.17,-5.607758734,507.2,102.9,157,117.9,117.9,91.9,No
LSQ13aiz,untargeted,0.0092,56436.83,0.05,0.964,0.04,0.079,2,LSQ13aiz_20130716_fire,2013-07-16,56489.05,51.74123039,1268,52,22.9,33.8,33.8,17.6,No
LSQ13dsm,untargeted,0.0424,56670.06,0.04,0.908,0.04,0.009,3,LSQ13dsm_20140101_fire,2014-01-01,56658.23,-11.35016755,2028.8,11.6,10.3,5.1,5.1,3.4,No
LSQ13dsm,untargeted,0.0424,56670.06,0.04,0.908,0.04,0.009,3,LSQ13dsm_20140109_fire,2014-01-09,56666.15,-3.754297327,1014.4,22.5,22.7,13.3,13.3,7.7,No
LSQ13dsm,untargeted,0.0424,56670.06,0.04,0.908,0.04,0.009,3,LSQ13dsm_20140114_fire,2014-01-14,56671.15,1.048635677,1014.4,12,9,4.9,4.9,3.5,No
LSQ13pf,untargeted,0.086,56373.38,0.91,0.917,0.055,0.056,1,LSQ13pf_20130325_fire,2013-03-25,56376.26,2.649344924,1426.5,5.4,3.2,1.6,1.6,1.6,No
LSQ13ry,untargeted,0.0298,56395.46,0.03,0.88,0.04,0.04,2,LSQ13ry_20130401_fire,2013-04-01,56383.11,-11.9926844,1944.8,16.4,14.5,7,7,4.4,No
LSQ13ry,untargeted,0.0298,56395.46,0.03,0.88,0.04,0.04,2,LSQ13ry_20130404_fire,2013-04-04,56386.18,-9.013826169,1014.4,17.3,18.6,9,9,6.5,No
LSQ14ajn,untargeted,0.021,56734.73,0.08,0.654,0.04,0.019,2,LSQ14ajn_20140318_fire,2014-03-18,56734.16,-0.557007911,1014.4,56.1,65.3,43.1,43.1,26.6,No
LSQ14ajn,untargeted,0.021,56734.73,0.08,0.654,0.04,0.019,2,LSQ14ajn_20140325_fire,2014-03-25,56741.2,6.338217443,1014.4,45,37.7,28.1,28.1,16.5,No
LSQ14xi,untargeted,0.0507,56720.29,0.08,1.142,0.041,0.037,1,LSQ14xi_20140227_fire,2014-02-27,56715.33,-4.719662554,760.8,11.7,15.3,12.8,12.8,8.2,No
LSQ15aae,untargeted,0.0516,57116.02,0.08,1.226,0.041,0.062,1,LSQ15aae_20150602_fire,2015-06-02,57175.27,56.3421336,2536,4.8,2.7,2.6,2.6,1.8,No
MASTER OT J030559.89+043238.2,untargeted,0.0282,56658.31,0.08,1.14,0.041,0.149,3,CSP13abm_20140101_fire,2014-01-01,56658.16,-0.146582273,1014.4,27.4,23.9,11.3,11.3,10.1,No
MASTER OT J030559.89+043238.2,untargeted,0.0282,56658.31,0.08,1.14,0.041,0.149,3,CSP13abm_20140109_fire,2014-01-09,56666.05,7.524648407,1014.4,22.8,17.2,15.6,15.6,11,No
MASTER OT J030559.89+043238.2,untargeted,0.0282,56658.31,0.08,1.14,0.041,0.149,3,CSP13abm_20140114_fire,2014-01-14,56671.1,12.43783542,1014.4,11.2,4.8,5,5,4.3,No
OGLE-2014-SN-019,untargeted,0.0359,56717.88,0.12,0.905,0.043,0.052,1,CSP14aaq_20140227_fire,2014-02-27,56715.14,-2.641844782,1014.4,70.8,105.1,103.8,103.8,98.3,Yes
PS1-14ra,untargeted,0.0281,56724.54,0.08,0.778,0.04,0.023,3,PS1-14ra_20140310_fire,2014-03-10,56726.28,1.694327298,1394.8,17.8,14.3,7.3,7.3,4.7,No
PS1-14ra,untargeted,0.0281,56724.54,0.08,0.778,0.04,0.023,3,PS1-14ra_20140318_fire,2014-03-18,56734.33,9.527134851,1521.6,38.7,20.7,21.9,21.9,14.2,No
PS1-14ra,untargeted,0.0281,56724.54,0.08,0.778,0.04,0.023,3,PS1-14ra_20140325_fire,2014-03-25,56741.32,16.31948801,1521.6,35.8,17.2,16.9,16.9,9.8,No
PS15sv,untargeted,0.0333,57113.54,0.09,1.113,0.042,0.078,3,PS15sv_20150402_fire,2015-04-02,57114.38,0.816486044,1014.4,37.9,35.8,19.9,19.9,16.1,No
PS15sv,untargeted,0.0333,57113.54,0.09,1.113,0.042,0.078,3,PS15sv_20150407_fire,2015-04-07,57119.38,5.648462895,1014.4,20,17,9.8,9.8,9.5,No
PS15sv,untargeted,0.0333,57113.54,0.09,1.113,0.042,0.078,3,PS15sv_20150601_fire,2015-06-01,57174.29,58.79569318,1521.6,10.4,3,4,4,2.8,No
PSN J13471211-2422171,untargeted,0.0199,57070.43,0.13,0.72,0.04,0.064,1,CSP15B_20150307_fire,2015-03-07,57088.32,17.53717189,507.2,57.2,37.6,42.2,42.2,22.9,No
PTF11qnr,untargeted,0.0162,55903.58,0.04,0.807,0.041,0.056,3,PTF11qnr_20111216_fire,2011-12-16,55911.04,7.343980871,1394.8,30.9,18.1,16.8,16.8,13.5,No
PTF11qnr,untargeted,0.0162,55903.58,0.04,0.807,0.041,0.056,3,PTF11qnr_20111218_fire,2011-12-18,55913.04,9.306499246,507.2,12.2,5.9,6.6,6.6,5.9,No
PTF11qnr,untargeted,0.0162,55903.58,0.04,0.807,0.041,0.056,3,PTF11qnr_20111221_fire,2011-12-21,55916.04,12.26485077,1521.6,14,9.1,15.5,15.5,13.4,No
iPTF13duj,untargeted,0.0169,56601.3,0.16,1.158,0.042,0.067,4,PTF13duj_20131025_fire,2013-10-25,56590.11,-11.00216044,1268,15.2,15,8,8,6,No
iPTF13duj,untargeted,0.0169,56601.3,0.16,1.158,0.042,0.067,4,PTF13duj_20131114_fire,2013-11-14,56610.04,8.59017002,1014.4,40.6,28.9,20.8,20.8,19.9,No
iPTF13duj,untargeted,0.0169,56601.3,0.16,1.158,0.042,0.067,4,PTF13duj_20131120_fire,2013-11-20,56616.02,14.46992462,1521.6,35.5,15.1,16.7,16.7,16.8,No
iPTF13duj,untargeted,0.0169,56601.3,0.16,1.158,0.042,0.067,4,PTF13duj_20131130_fire,2013-11-30,56626.01,24.29922785,1014.4,54.5,29,34.5,34.5,27.7,No
iPTF13dym,untargeted,0.0421,56609.83,0.65,0.517,0.047,0.038,1,PTF13dym_20131120_fire,2013-11-20,56616.05,5.96857851,1268,53.8,67.7,70,70,63,Yes
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131114_fire,2013-11-14,56610.16,-12.95544917,3170,23,23.1,12,12,7.8,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131116_fire,2013-11-16,56612.18,-10.9688425,507.2,16.3,18.4,13,13,6.5,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131120_fire,2013-11-20,56616.11,-7.087111132,1521.6,66.9,79.8,46.5,46.5,34.6,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131130_fire,2013-11-30,56626.09,2.766513943,1141.2,74.4,81.9,53.4,53.4,36,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131209_fire,2013-12-09,56635.08,11.63147631,1521.6,48.3,25.5,25.9,25.9,15.4,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131214_fire,2013-12-14,56640.06,16.54770447,1014.4,57.1,48.1,49.7,49.7,33.2,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131220_fire,2013-12-20,56646.06,22.4756137,1014.4,64.7,40.4,29.4,29.4,17.7,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20131227_fire,2013-12-27,56653.03,29.35494784,1014.4,31.3,14.5,14.1,14.1,7.7,No
iPTF13ebh,untargeted,0.0133,56623.29,0.03,0.632,0.04,0.067,9,PTF13ebh_20140101_fire,2014-01-01,56658.03,34.28986243,1014.4,20,8.1,7.9,7.9,4,No
iPTF14aaf,untargeted,0.0588,56741.26,0.08,1.169,0.041,0.029,1,PTF14aaf_20140318_fire,2014-03-18,56734.31,-6.567579273,1268,17.4,16.2,8.3,8.3,5.3,No
iPTF14w,untargeted,0.0189,56669.93,0.03,0.743,0.04,0.021,7,PTF14w_20140109_fire,2014-01-09,56666.34,-3.526511352,507.2,50.7,56.7,42.4,42.4,22.6,No
iPTF14w,untargeted,0.0189,56669.93,0.03,0.743,0.04,0.021,7,PTF14w_20140114_fire,2014-01-14,56671.31,1.353532457,507.2,28.8,29.9,20,20,11.9,No
iPTF14w,untargeted,0.0189,56669.93,0.03,0.743,0.04,0.021,7,PTF14w_20140208_fire,2014-02-08,56696.36,25.94084039,1014.4,45.8,29.3,28.5,28.5,11.7,No
iPTF14w,untargeted,0.0189,56669.93,0.03,0.743,0.04,0.021,7,PTF14w_20140215_fire,2014-02-15,56703.33,32.7764507,1521.6,12.1,5.7,5.9,5.9,2.7,No
iPTF14w,untargeted,0.0189,56669.93,0.03,0.743,0.04,0.021,7,PTF14w_20140222_fire,2014-02-22,56710.24,39.56556532,1521.6,19.6,8.2,10,10,4.1,No
iPTF14w,untargeted,0.0189,56669.93,0.03,0.743,0.04,0.021,7,PTF14w_20140227_fire,2014-02-27,56715.27,44.49677498,1014.4,16.8,6.1,8.8,8.8,4.2,No
iPTF14w,untargeted,0.0189,56669.93,0.03,0.743,0.04,0.021,7,PTF14w_20140318_fire,2014-03-18,56734.13,63.00895624,1521.6,13.9,21.8,24.5,24.5,17.4,Yes
iPTF14yw,untargeted,0.017,56729.46,0.08,0.854,0.041,0.026,4,PTF14yw_20140310_fire,2014-03-10,56726.2,-3.208279455,1521.6,49.6,62.6,36.8,36.8,22.2,No
iPTF14yw,untargeted,0.017,56729.46,0.08,0.854,0.041,0.026,4,PTF14yw_20140318_fire,2014-03-18,56734.19,4.655301047,1014.4,47.1,44.2,38.3,38.3,27,No
iPTF14yw,untargeted,0.017,56729.46,0.08,0.854,0.041,0.026,4,PTF14yw_20140325_fire,2014-03-25,56741.17,11.51391898,1014.4,26.5,16.2,17,17,12.6,No
iPTF14yw,untargeted,0.017,56729.46,0.08,0.854,0.041,0.026,4,PTF14yw_20140423_fire,2014-04-23,56770.15,40.00634484,1521.6,25.7,12.7,13.3,13.3,7.5,No
iPTF14yy,untargeted,0.043,56733.3,0.06,0.837,0.041,0.02,1,PTF14yy_20140318_fire,2014-03-18,56734.24,0.904949025,1521.6,17.3,15.7,10,10,7.3,No
SN2011iv,targeted,0.0065,55906.08,0.05,0.701,0.041,0.01,8,SN2011iv_20111216_fire,2011-12-16,55911.19,5.080894211,253.6,119.4,148,154.3,154.3,95.9,No
SN2011iv,targeted,0.0065,55906.08,0.05,0.701,0.041,0.01,8,SN2011iv_20111218_fire,2011-12-18,55913.18,7.05489343,253.6,57.3,119.2,141.4,141.4,103.6,No
SN2011iv,targeted,0.0065,55906.08,0.05,0.701,0.041,0.01,8,SN2011iv_20111221_fire,2011-12-21,55916.25,10.1030576,211.2,100,79.1,118,118,67.2,No
SN2011iv,targeted,0.0065,55906.08,0.05,0.701,0.041,0.01,8,SN2011iv_20120107_fire,2012-01-07,55933.11,26.85819609,480,131.4,127.9,142.5,142.5,107.7,No
SN2011iv,targeted,0.0065,55906.08,0.05,0.701,0.041,0.01,8,SN2011iv_20120115_fire,2012-01-15,55941.09,34.78679533,1014.4,117.3,88.6,46.6,46.6,51.5,No
